"MINSAN";"DESCRIZIONE";"PP*1000";"CATEGORIA";"GIAC";"IVA";"P.P."
"907146777    ";"COLESTAT INTEGRATORE 30CPS    ";18500;"Integratori alimentari";2;10;0,00
"939929410    ";"COLIGAS FAST TISANA 40G       ";7400;"Erboristeria salut. preconf.  ";1;10;0,00
"923206597    ";"COLIMIL PLUS GOCCE 30ML       ";17800;"Integratori alimentari";2;10;0,00
"930601000    ";"COLINOX 40CPR                 ";15800;"Parafarmaci";1;22;0,00
"904993452    ";"COLINOX GOCCE OS 20ML         ";13500;"Parafarmaci";1;22;0,00
"900033616    ";"COLLAGENIL DETERGENTE RESTITUT";17800;"Prodotti igiene del corpo     ";1;22;0,00
"900033580    ";"COLLAGENIL SOFT-SCRUB DET200ML";19800;"Prodotti viso, trattamento    ";1;22;0,00
"922397548    ";"COLLARE ELISABETTA 12,5CM     ";4000;"Prodotti zootecnici           ";1;22;0,00
"902188770    ";"COLLARE ELISABETTA 20CM KRUUSE";6000;"Prodotti zootecnici           ";1;22;0,00
"921284319    ";"COLLARE ELISABETTA 25CM KRUUSE";7600;"Prodotti zootecnici           ";1;22;0,00
"924258419    ";"COLOSTRUM GEL REMARGIN 30ML   ";11000;"Prodotti per il corpo         ";1;22;0,00
"905950263    ";"COLPOFIX TE TRATT ES 20ML+EROG";13000;"Prodotti per il corpo         ";1;22;0,00
"904185319    ";"COLPOFIX TRATT GINEC 20ML+10AP";19900;"Prod.per igiene int.uso inter.";2;22;0,00
"922388715    ";"COMBIART PLUS 20BUST          ";21000;"Integratori alimentari";2;10;0,00
"900458896    ";"COMPEED CALLIFUGHI CER+6DISCH ";7500;"Ausili sanitari               ";1;22;0,00
"910883622    ";"COMPEED DURONI CER MEDIO 6PZ  ";6900;"Ausili sanitari               ";1;22;0,00
"902292111    ";"COMPEED DURONI PIANTA PIEDE 2P";6900;"Ausili sanitari               ";2;22;0,00
"911049688    ";"COMPEED HERPES PATCH 15PZ     ";12600;"Ausili sanitari               ";2;22;0,00
"912521578    ";"COMPEED RAGADI DITA CER 10PZ  ";7800;"Ausili sanitari               ";2;22;0,00
"930889100    ";"COMPEED VESCICHE EXTREME 5PZ  ";8600;"Ausili sanitari               ";1;22;0,00
"910889310    ";"COMPEED VESCICHE INVISIBILE5PZ";7800;"Ausili sanitari               ";1;22;0,00
"900654284    ";"COMPEED VESCICHE MEDIO 5PZ    ";7800;"Ausili sanitari               ";2;22;0,00
"930861721    ";"COMPEED VESCICHE PIANTA PIEDE ";7800;"Ausili sanitari               ";1;22;0,00
"900654296    ";"COMPEED VESCICHE SMALL 6PZ    ";7800;"Ausili sanitari               ";2;22;0,00
"907304582    ";"CONDRONIL 30CPS               ";22800;"Integratori alimentari";2;10;0,00
"922017811    ";"CONDRONIL COMPLEX 30BUST      ";32200;"Integratori alimentari";1;10;0,00
"909892972    ";"CONFIDELLE PROGRESS 1TESTNUOVO";13900;"Diagnostici in vitro          ";90;22;0,00
"908877208    ";"CONFIDELLE PROGRESS 2TEST     ";19900;"Diagnostici in vitro          ";47;22;0,00
"908283563    ";"CONIFER LATTE DET 150ML       ";18100;"Prodotti viso/deterg./struc.  ";1;22;0,00
"908262076    ";"CONIFER S4 DET 200ML          ";15900;"Prodotti igiene del corpo     ";2;22;0,00
"930668532    ";"CONTACTA DAILY LENS Y -3,25 16";13500;"Prodotti sanitari             ";1;4;0,00
"930668544    ";"CONTACTA DAILY LENS Y -3,50 16";13500;"Prodotti sanitari             ";1;4;0,00
"930668557    ";"CONTACTA DAILY LENS Y -3,75 16";13500;"Prodotti sanitari             ";1;4;0,00
"930668583    ";"CONTACTA DAILY LENS Y -4,50 16";13500;"Prodotti sanitari             ";2;4;0,00
"932725056    ";"CONTACTA DAILY LENS Y -4,50 32";24500;"Prodotti sanitari             ";1;4;0,00
"930668595    ";"CONTACTA DAILY LENS Y -4,75 16";13500;"Prodotti sanitari             ";1;4;0,00
"930668633    ";"CONTACTA DAILY LENS Y -5,50 16";13500;"Prodotti sanitari             ";3;4;0,00
"932725094    ";"CONTACTA DAILY LENS Y -5,50 32";24500;"Prodotti sanitari             ";1;4;0,00
"930668645    ";"CONTACTA DAILY LENS Y -5,75 16";13500;"Prodotti sanitari             ";1;4;0,00
"930668658    ";"CONTACTA DAILY LENS Y -6,00 16";13500;"Prodotti sanitari             ";1;4;0,00
"930668660    ";"CONTACTA DAILY LENS Y -6,50 16";13500;"Prodotti sanitari             ";1;4;0,00
"930668672    ";"CONTACTA DAILY LENS Y -7,00 16";13500;"Prodotti sanitari             ";1;4;0,00
"930668684    ";"CONTACTA DAILY LENS Y -7,50 16";13500;"Prodotti sanitari             ";1;4;0,00
"933162378    ";"CONTACTA DAILY LENS YAL 15 2,5";13500;"Prodotti sanitari             ";1;4;0,00
"933162392    ";"CONTACTA DAILY LENS YAL 15 3DI";13500;"Prodotti sanitari             ";1;4;0,00
"931976296    ";"CONTACTA ONE PREM PRESB AR 1  ";9900;"Prodotti sanitari             ";4;4;0,00
"931976308    ";"CONTACTA ONE PREM PRESB AR 1,5";9900;"Prodotti sanitari             ";4;4;0,00
"931976322    ";"CONTACTA ONE PREM PRESB AR 2,5";9900;"Prodotti sanitari             ";2;4;0,00
"931976334    ";"CONTACTA ONE PREM PRESB AR 3  ";9900;"Prodotti sanitari             ";4;4;0,00
"931976346    ";"CONTACTA ONE PREM PRESB AR 3,5";9900;"Prodotti sanitari             ";3;4;0,00
"931976171    ";"CONTACTA ONE PREM PRESB BLU 1 ";9900;"Prodotti sanitari             ";3;4;0,00
"931976219    ";"CONTACTA ONE PREM PRESB BLU 3 ";9900;"Prodotti sanitari             ";2;4;0,00
"931976183    ";"CONTACTA ONE PREM PRESB BLU1,5";9900;"Prodotti sanitari             ";4;4;0,00
"931976207    ";"CONTACTA ONE PREM PRESB BLU2,5";9900;"Prodotti sanitari             ";3;4;0,00
"931976221    ";"CONTACTA ONE PREM PRESB BLU3,5";9900;"Prodotti sanitari             ";2;4;0,00
"931976233    ";"CONTACTA ONE PREM PRESB NE 1  ";9900;"Prodotti sanitari             ";3;4;0,00
"931976260    ";"CONTACTA ONE PREM PRESB NE 2,5";9900;"Prodotti sanitari             ";3;4;0,00
"931976272    ";"CONTACTA ONE PREM PRESB NE 3  ";9900;"Prodotti sanitari             ";1;4;0,00
"931976284    ";"CONTACTA ONE PREM PRESB NE 3,5";9900;"Prodotti sanitari             ";1;4;0,00
"931976118    ";"CONTACTA ONE PREM PRESB RO 1  ";9900;"Prodotti sanitari             ";3;4;0,00
"931976120    ";"CONTACTA ONE PREM PRESB RO 1,5";9900;"Prodotti sanitari             ";4;4;0,00
"931976144    ";"CONTACTA ONE PREM PRESB RO 2,5";9900;"Prodotti sanitari             ";2;4;0,00
"931976157    ";"CONTACTA ONE PREM PRESB RO 3  ";9900;"Prodotti sanitari             ";3;4;0,00
"931976169    ";"CONTACTA ONE PREM PRESB RO 3,5";9900;"Prodotti sanitari             ";2;4;0,00
"930856606    ";"CONTACTA SOLUTION YAL 100MLCE ";5900;"Prodotti sanitari             ";2;22;0,00
"939462824    ";"CONTACTA SOLUTION YAL 360ML   ";9900;"Prodotti sanitari             ";2;22;0,00
"930000411    ";"CONTACTA SOLUZIONE 2X360ML    ";9900;"Prodotti sanitari             ";1;22;0,00
"900636869    ";"CONTAGOCCE LAPIS VETRO        ";700;"Prodotti sanitari             ";2;22;0,00
"901183665    ";"CONTENITORE FECI GAMMATEST    ";900;"Accessori agli art. sanitari  ";2;22;0,00
"901183754    ";"CONTENITORE URINA 120ML GAMMAT";950;"Accessori agli art. sanitari  ";11;22;0,00
"923781189    ";"CONTROL ANELLO 1PZ            ";7500;"Prodotti sanitari             ";7;22;0,00
"922912062    ";"CONTROL CHOCOLATE ADDICTION 6P";9400;"Parafarmaci";20;22;0,00
"922992906    ";"CONTROL ENERGY 6PZ            ";9900;"Prodotti sanitari             ";22;22;0,00
"922912011    ";"CONTROL EXTRA LUBE 6PZ        ";8000;"Parafarmaci";22;22;0,00
"922912023    ";"CONTROL FINISSIMO 12PZ        ";16900;"Parafarmaci";12;22;0,00
"922912098    ";"CONTROL FINISSIMO 6PZ         ";9700;"Parafarmaci";24;22;0,00
"923781177    ";"CONTROL FINISSIMO XL 6PZ      ";9700;"Prodotti sanitari             ";24;22;0,00
"922912074    ";"CONTROL FUSSION 12PZ          ";16000;"Parafarmaci";11;22;0,00
"922912047    ";"CONTROL NATURE 12PZ           ";12800;"Parafarmaci";4;22;0,00
"922912035    ";"CONTROL NATURE 3PZ            ";3900;"Parafarmaci";2;22;0,00
"922912112    ";"CONTROL NATURE 6PZ            ";6900;"Parafarmaci";22;22;0,00
"924419423    ";"CONTROL NATURE ALOE VERA 6PZ  ";9400;"Prodotti sanitari             ";24;22;0,00
"924961927    ";"CONTROL NATURE EASY WAY SOL 6P";7100;"Prodotti sanitari             ";22;22;0,00
"922912136    ";"CONTROL NON STOP 6PZ          ";9900;"Parafarmaci";24;22;0,00
"924218213    ";"CONTROL PLEASURE GEL NATURE   ";9400;"Prodotti sanitari             ";24;22;0,00
"922912314    ";"CONTROL RETARD 12PZ           ";16000;"Parafarmaci";12;22;0,00
"922912288    ";"CONTROL RETARD 6PZ            ";9400;"Parafarmaci";20;22;0,00
"922912302    ";"CONTROL SENSO 12PZ            ";15900;"Parafarmaci";12;22;0,00
"922912151    ";"CONTROL SENSO 6PZ             ";9400;"Parafarmaci";22;22;0,00
"922912148    ";"CONTROL TOUCH&FEEL 6PZ        ";9900;"Parafarmaci";22;22;0,00
"922912050    ";"CONTROL XL 6PZ                ";9400;"Parafarmaci";24;22;0,00
"903012235    ";"COPRISCARPE PET 100PZ         ";5200;"Ausili sanitari               ";2;22;0,00
"908363563    ";"COPRIWATER 10FOGLI            ";1900;"Ausili sanitari               ";3;22;0,00
"909875041    ";"CORAL CANOVA OIL SH DEL 250ML ";14700;"Prodotti capelli e cuoio cap. ";1;22;0,00
"931445516    ";"CORDYCEPS 60CPS               ";28500;"Integratori alimentari";1;10;0,00
"932164852    ";"COREGA PULIZIA PRF 60+6CPR    ";9200;"Parafarmaci";2;22;0,00
"907265197    ";"CORRETTORE NT ALLUCE DX U 1PZ ";14500;"Prodotti per il corpo         ";1;4;0,00
"907265211    ";"CORRETTORE NT ALLUCE SX U 1PZ ";14500;"Prodotti per il corpo         ";2;4;0,00
"930851047    ";"COTIDIERBE 100CPR             ";9800;"Integratori alimentari";1;10;0,00
"904420559    ";"COTIDIERBE TISANA 15BUST 27G  ";5700;"Erboristeria salut. preconf.  ";2;10;0,00
"900549484    ";"COTONE IDROFILO INDIA 100G    ";930;"Prodotti sanitari             ";2;22;0,00
"901474686    ";"COVERMARK LEG MAGIC 12 50ML   ";32200;"Prodotti per il corpo         ";1;22;0,00
"901474559    ";"COVERMARK LEG MAGIC 2 50ML    ";32200;"Prodotti per il corpo         ";1;22;0,00
"901474561    ";"COVERMARK LEG MAGIC 3 50ML    ";32200;"Prodotti per il corpo         ";1;22;0,00
"908080310    ";"CREDO RASOI CALLI 10LAME      ";4950;"Parafarmaci";1;22;0,00
"906595778    ";"CREMA ARACHIDI 300G           ";4150;"Integratori alimentari";1;10;0,00
"908262809    ";"CREMA BASE ESSEX 50ML         ";9880;"Prodotti per il corpo         ";3;22;0,00
"920417298    ";"CREME LAVANTE DET 500ML       ";14900;"Prodotti igiene del corpo     ";2;22;0,00
"908288020    ";"CRINEGRAS SH CAP GRAS 200ML   ";9500;"Prodotti capelli e cuoio cap. ";2;22;0,00
"909272268    ";"CROMO PICOLINATO 30CPS        ";12800;"Integratori alimentari";1;10;0,00
"907119489    ";"CROMOPIL CANOVA CREMA 50ML    ";39500;"Prodotti viso, trattamento    ";2;22;0,00
"901733042    ";"CRUSCA 200TAV MASTICABILI     ";8700;"Integratori alimentari";2;10;0,00
"931163164    ";"CRUSCA AVENA BIO 250G         ";1940;"Integratori alimentari";1;4;0,00
"923525226    ";"CUCCHIAINO SVEZZAMENTO 6M+    ";5950;"Parafarmaci";5;22;0,00
"905526846    ";"CUFFIA VERDE BUSTA 100PZ      ";9000;"Ausili sanitari               ";2;22;0,00
"905885962    ";"CUORE DI BIMBO DOPPLER FETALE ";82000;"Parafarmaci";1;22;0,00
"939228425    ";"CURAKID SPAZZOLINO CK4260     ";4250;"Prodotti igiene dentale       ";7;22;0,00
"924701408    ";"CURAPROX ATA SPAZZOLINO       ";4250;"Prodotti igiene dentale       ";6;22;0,00
"906584432    ";"CURAPROX DENTAL FLOSS 3IN1    ";19000;"Prodotti igiene dentale       ";2;22;0,00
"906584469    ";"CURAPROX DENTAL FLOSS B&I     ";17000;"Prodotti igiene dentale       ";2;22;0,00
"904368634    ";"CURAPROX DENTAL FLOSS DF821   ";4850;"Prodotti igiene dentale       ";5;22;0,00
"904368646    ";"CURAPROX DENTAL FLOSS DF822   ";4250;"Prodotti igiene dentale       ";3;22;0,00
"904368659    ";"CURAPROX DENTAL FLOSS DF823   ";4250;"Prodotti igiene dentale       ";4;22;0,00
"907076362    ";"CURAPROX DENTAL FLOSS PTFE CLO";4850;"Prodotti igiene dentale       ";6;22;0,00
"923454843    ";"CURAPROX FLOSS EXPANDING DF825";5200;"Prodotti igiene dentale       ";1;22;0,00
"923454831    ";"CURAPROX FLOSS NE CER DF824   ";4850;"Prodotti igiene dentale       ";7;22;0,00
"924219367    ";"CURAPROX PRIME PLUS GIALLO 5PZ";8900;"Prodotti igiene dentale       ";1;22;0,00
"924219342    ";"CURAPROX PRIME PLUS RO 7 PLUS ";8900;"Prodotti igiene dentale       ";2;22;0,00
"924219330    ";"CURAPROX PRIME PLUS TURCH 5PZ ";8900;"Prodotti igiene dentale       ";1;22;0,00
"939153591    ";"CURAPROX PRIME ROSA 5SCOV     ";8900;"Prodotti igiene dentale       ";1;22;0,00
"939153577    ";"CURAPROX PRIME ROSSO 5SCOV    ";8900;"Prodotti igiene dentale       ";3;22;0,00
"939153680    ";"CURAPROX REG BLU 5SCOV        ";8900;"Prodotti igiene dentale       ";1;22;0,00
"924219429    ";"CURAPROX REG PLUS ARA CON 5PZ ";8900;"Prodotti igiene dentale       ";3;22;0,00
"924219393    ";"CURAPROX REG PLUS BIANCO 5PZ  ";8900;"Prodotti igiene dentale       ";3;22;0,00
"924219405    ";"CURAPROX REG PLUS VERDE 5PZ   ";8900;"Prodotti igiene dentale       ";4;22;0,00
"924219431    ";"CURAPROX SCOV PLUS REG AR CIL ";8900;"Prodotti igiene dentale       ";2;22;0,00
"930664216    ";"CURAPROX SPAZZ ORTHO          ";4250;"Prodotti igiene dentale       ";3;22;0,00
"906584370    ";"CURAPROX SPAZZ SENS M         ";4250;"Prodotti igiene dentale       ";26;22;0,00
"935761357    ";"CURAPROX SPAZZ SENS YOUNG     ";4250;"Prodotti igiene dentale       ";9;22;0,00
"905369017    ";"CURAPROX SPAZZ ULTRA SOFT     ";4250;"Prodotti igiene dentale       ";4;22;0,00
"905869830    ";"CURAPROX TRAVEL SET           ";6950;"Prodotti igiene dentale       ";3;22;0,00
"902980655    ";"CURASEPT ADS COLLUT 0,05+GEL  ";7200;"Prodotti igiene dentale       ";1;22;0,00
"902980642    ";"CURASEPT ADS COLLUT 0,12+GEL  ";7200;"Prodotti igiene dentale       ";2;22;0,00
"902980616    ";"CURASEPT ADS COLLUT 0,20%+GEL ";7200;"Prodotti igiene dentale       ";2;22;0,00
"931452775    ";"CURASEPT ADS COLLUT 0,20LENIT ";7900;"Prodotti igiene dentale       ";2;22;0,00
"930258429    ";"CURASEPT ADS COLLUTORIO 0,12  ";13000;"Prodotti igiene dentale       ";1;22;0,00
"931452763    ";"CURASEPT ADS COLLUTORIO 200ML ";8900;"Prodotti igiene dentale       ";1;22;0,00
"907280135    ";"CURASEPT ADS DENTIFRICIO 0,05 ";5250;"Prodotti igiene dentale       ";3;22;0,00
"907280109    ";"CURASEPT ADS DENTIFRICIO 0,12 ";5250;"Prodotti igiene dentale       ";9;22;0,00
"907280046    ";"CURASEPT ADS DENTIFRICIO 0,20 ";5250;"Prodotti igiene dentale       ";10;22;0,00
"939917528    ";"CURASEPT ADS GEL PARODONT 0,5%";6200;"Prodotti igiene dentale       ";3;22;0,00
"924277306    ";"CURASEPT COLL 0,05 TRAVEL ADS ";3900;"Prodotti igiene dentale       ";8;22;0,00
"924587759    ";"CURASEPT COLL 0,05+DENTIF 0,05";6900;"Prodotti igiene dentale       ";3;22;0,00
"924277294    ";"CURASEPT COLL 0,12 TRAVEL ADS ";3900;"Prodotti igiene dentale       ";4;22;0,00
"924587746    ";"CURASEPT COLL 0,12+DENTIF 0,12";6900;"Prodotti igiene dentale       ";2;22;0,00
"924587734    ";"CURASEPT COLL 0,20+DENTIF 0,20";6900;"Prodotti igiene dentale       ";8;22;0,00
"930163985    ";"CURASEPT DAYCARE DENTIF GENGIV";5250;"Prodotti igiene dentale       ";4;22;0,00
"939917795    ";"CURASEPT GEL PAROD 1% ADS 30ML";6950;"Prodotti igiene dentale       ";2;22;0,00
"905527180    ";"CURASEPT SENSITIVITY COLLUT   ";6550;"Prodotti igiene dentale       ";3;22;0,00
"905528927    ";"CURASEPT SENSITIVITY DENTIF   ";5250;"Prodotti igiene dentale       ";3;22;0,00
"905528980    ";"CURASEPT SENSITIVITY GEL TOPIC";8550;"Prodotti igiene dentale       ";1;22;0,00
"923836643    ";"CURASEPT WHITENING GEL 10ML   ";17900;"Prodotti igiene dentale       ";6;22;0,00
"938906346    ";"CURCUMA 100G                  ";5000;"Erboristeria salut. preconf.  ";1;10;0,00
"902657865    ";"CURCUMA 60CPS 450MG           ";14900;"Erboristeria salut. preconf.  ";1;10;0,00
"909973202    ";"CUSCINO GOMMA FERRO CAVALLO   ";31000;"Ausili sanitari               ";1;22;0,00
"909973113    ";"CUSCINO GOMMAPIUMA TONDO      ";28500;"Ausili sanitari               ";1;22;0,00
"912032695    ";"CUSCINO MAMMA BAMBINO NEW     ";60400;"Parafarmaci";2;22;0,00
"912807803    ";"D MANNOSIO 30CPS              ";19000;"Integratori alimentari";1;10;0,00
"931982488    ";"D-PIGMENT TRATT A/MACCHIE LEGE";32000;"Prodotti viso, trattamento    ";1;22;0,00
"930185881    ";"DAILYVIT+ 60CPR               ";11900;"Integratori alimentari";12;10;0,00
"909475105    ";"DATIF PC 40CPR                ";10900;"Prodotti omeopatici           ";2;10;0,00
"908297310    ";"DEBROX GOCCE 15ML             ";9400;"Prodotti sanitari             ";1;22;0,00
"930666235    ";"DEFENCE DEO A/ODORANTE SPR 100";12500;"Prodotti per il corpo         ";2;22;0,00
"930621608    ";"DEFENCE DEO LATTE SPRAY 100ML ";12500;"Prodotti per il corpo         ";2;22;0,00
"930620125    ";"DEFENCE EYE CR A/BORS OCCH15ML";21500;"Prodotti viso, trattamento    ";1;22;0,00
"921820534    ";"DEFENCE HAIR SHAMPOO DERMOLENI";11750;"Prodotti capelli e cuoio cap. ";1;22;0,00
"912942238    ";"DEFENCE HYDRA CR IDR LEG P N/M";21500;"Prodotti viso, trattamento    ";1;22;0,00
"912942240    ";"DEFENCE HYDRA CR IDRAT RICCA  ";21500;"Prodotti viso, trattamento    ";1;22;0,00
"920308792    ";"DEFENCE SUN BB LTT SOL 30 SPR ";22750;"Prodotti solari               ";1;22;0,00
"930666351    ";"DEFENCE SUN BB LTT SOL 50+ SPR";22750;"Prodotti per il corpo         ";1;22;0,00
"912543737    ";"DEFENCE SUN LTT 50 PROT M/ALTA";22250;"Prodotti solari               ";1;22;0,00
"912513898    ";"DEFENCE XAGE UTLIMATE LIFT CR ";37500;"Prodotti viso, trattamento    ";1;22;0,00
"910819287    ";"DEFLANIL GEL 75ML             ";15300;"Prodotti per il corpo         ";1;22;0,00
"922765829    ";"DEFLANIL PLUS 30CPR           ";28700;"Integratori alimentari";2;10;0,00
"931600845    ";"DEFLOGO SD 20CPR              ";15500;"Integratori alimentari";2;10;0,00
"920368685    ";"DEKOSILHUE 500ML              ";22000;"Integratori alimentari";2;10;0,00
"932086996    ";"DELICLIN SOAP 200ML           ";12500;"Prodotti igiene del corpo     ";1;22;0,00
"909128631    ";"DELTATAR PHARCOS 250ML        ";12000;"Prodotti capelli e cuoio cap. ";1;22;0,00
"923428977    ";"DENTINAL SOFT MASSGENG DA DITO";4600;"Prodotti igiene dentale       ";24;22;0,00
"938061379    ";"DENTINALE NATURA GEL GENGIV 20";9900;"Prodotti sanitari             ";1;22;0,00
"907280426    ";"DEO CR P MOLTO SENS 40ML      ";11500;"Prodotti per il corpo         ";2;22;0,00
"907280313    ";"DEO CR TRASP INTEN 30ML       ";11500;"Prodotti per il corpo         ";2;22;0,00
"907280693    ";"DEO VAPO FRESH SILVESTRE 100ML";11500;"Prodotti per il corpo         ";1;22;0,00
"931504462    ";"DEPI 50+ CANOVA CR 50ML       ";39400;"Prodotti solari               ";2;22;0,00
"909056943    ";"DEPILZERO 3 CREMA VISO 50ML   ";8570;"Prodotti viso, trattamento    ";1;22;0,00
"908319054    ";"DEPILZERO CR GAMBE/BRACC 150ML";7720;"Prodotti per il corpo         ";1;22;0,00
"900190758    ";"DEPURATIVO ANTARTICO 500ML    ";22000;"Erboristeria salut. preconf.  ";4;10;0,00
"912517885    ";"DERCOS ANTIPELLICULAIRE SECHE ";13200;"Prodotti capelli e cuoio cap. ";1;22;0,00
"900466703    ";"DERCOS SHAMPOO ENERG 200ML    ";12200;"Prodotti capelli e cuoio cap. ";1;22;0,00
"901488294    ";"DERIGYN FAST 3,5 DET INT 500ML";7600;"Prodotti igiene del corpo     ";2;22;0,00
"907117004    ";"DERIGYN FAST RIC 500ML        ";6500;"Prodotti igiene del corpo     ";1;22;0,00
"907117030    ";"DERIGYN SPORT 300ML           ";6000;"Prodotti igiene del corpo     ";1;22;0,00
"931153682    ";"DERMAFRESH DEO ODOR CONTROL CR";9900;"Prodotti per il corpo         ";7;22;0,00
"931153656    ";"DERMAFRESH DEO PELLE ALLERGICA";9900;"Prodotti per il corpo         ";3;22;0,00
"931153694    ";"DERMAFRESH DEO PELLE NORM S/PR";9900;"Prodotti per il corpo         ";5;22;0,00
"931153668    ";"DERMAFRESH DEO PELLE SENSIBILE";9900;"Prodotti per il corpo         ";7;22;0,00
"930197468    ";"DERMAFRESH DEOD GIRL 100ML    ";11000;"Prodotti per il corpo         ";1;22;0,00
"930530718    ";"DERMAFRESH IPERSUD LATTE CRP  ";13500;"Prodotti per il corpo         ";2;22;0,00
"930530720    ";"DERMAFRESH IPERSUDOR PIEDI 100";13500;"Prodotti per il corpo         ";2;22;0,00
"930530694    ";"DERMAFRESH ODOR CONTROL ROLLON";11500;"Prodotti per il corpo         ";2;22;0,00
"932681430    ";"DERMAFRESH ODORCONTROLL SPR100";9900;"Prodotti per il corpo         ";1;22;0,00
"932219785    ";"DERMAFRESH PELLE SENS SILVER  ";8000;"Prodotti per il corpo         ";5;22;0,00
"900329119    ";"DERMAMID OIL OLIO BAGNO 250ML ";15500;"Prodotti igiene del corpo     ";2;22;0,00
"938283254    ";"DERMASOL BB 3/12 CR SOLARE75ML";18000;"Prodotti solari               ";3;22;0,00
"931467575    ";"DERMASOL BB CR SOLARE SPF30+  ";20000;"Prodotti solari               ";7;22;0,00
"931467512    ";"DERMASOL BB CR SOLARE SPF50+  ";20000;"Prodotti solari               ";4;22;0,00
"905903973    ";"DERMASOL BB DOPOSOL INSECT 100";17500;"Prodotti solari               ";1;22;0,00
"931467498    ";"DERMASOL BB LATTE SPR ALTA30+ ";20500;"Prodotti solari               ";3;22;0,00
"930494214    ";"DERMASOL BB SPRAY NEW TECH 125";20500;"Prodotti solari               ";1;22;0,00
"930494149    ";"DERMASOL GC CITO COMP ABBRONZA";19500;"Prodotti solari               ";2;22;0,00
"930494164    ";"DERMASOL GC CITO COMP NATURALE";19500;"Prodotti solari               ";7;22;0,00
"930494176    ";"DERMASOL GC CITO STICK 8ML    ";10000;"Prodotti solari               ";1;22;0,00
"938632472    ";"DERMASOL GCC SYS VISO PR M/A50";17500;"Prodotti solari               ";8;22;0,00
"930494190    ";"DERMASOL SOLAIRE OLIO SPR CAP ";15000;"Prodotti capelli e cuoio cap. ";4;22;0,00
"931467447    ";"DERMASOL SOLAIRE OLIO SPR CORP";19000;"Prodotti solari               ";2;22;0,00
"931467702    ";"DERMASOL WR LAT SPR M/ALTA 50+";22000;"Prodotti solari               ";10;22;0,00
"905729950    ";"DERMASOL WR LATTE PR ALTA 150M";17900;"Prodotti solari               ";2;22;0,00
"905729947    ";"DERMASOL WR LATTE PR MEDIA 150";17900;"Prodotti solari               ";2;22;0,00
"905729962    ";"DERMASOL WR LATTE PROT M/ALTA ";17900;"Prodotti solari               ";1;22;0,00
"930494188    ";"DERMASOL WR SPR NEW TECH 150ML";22000;"Prodotti solari               ";7;22;0,00
"904234818    ";"DERMASOL WR STICK COLOR A/PROT";8000;"Prodotti solari               ";4;22;0,00
"904234921    ";"DERMASOL WR STICK TRASP A/PROT";8000;"Prodotti solari               ";11;22;0,00
"921807071    ";"DERMATOPIL CANOVA CREMA 125ML ";24800;"Prodotti per il corpo         ";2;22;0,00
"925703225    ";"DERMATOPIL CANOVA MANI 50ML   ";9000;"Prodotti per le mani          ";31;22;0,00
"938412119    ";"DERMO-LABOCAINA GEL A/SFR 30ML";11700;"Prodotti per il corpo         ";2;22;0,00
"908233176    ";"DERMOCLIN IFESPOR 500ML       ";14000;"Prodotti igiene del corpo     ";1;22;0,00
"923509297    ";"DERMOLIPID TUBO 200ML         ";34500;"Prodotti sanitari             ";1;22;0,00
"908530367    ";"DERMONDEL OLIO BAGNO CAMOMILLA";12000;"Prodotti igiene del corpo     ";2;22;0,00
"922288410    ";"DERMOSILE 50 FORTE 50ML       ";16000;"Prodotti sanitari             ";1;22;0,00
"938924750    ";"DERMOVITAMINA GEL CICATRICI 30";17500;"Prodotti sanitari             ";1;22;0,00
"930669799    ";"DERMOVITAMINA MICOB SOL UNG   ";13900;"Prodotti sanitari             ";1;22;0,00
"934028756    ";"DERMOVITAMINA MICOBLOCK DOCCIA";9800;"Prodotti igiene del corpo     ";2;22;0,00
"932676950    ";"DERMOVITAMINA PRURITO CR 30ML ";9900;"Prodotti sanitari             ";1;22;0,00
"930362482    ";"DERMOVITAMINA RAGADI GEL 7ML  ";10900;"Ausili sanitari               ";2;22;0,00
"932462613    ";"DESTASI BBCREAM GAMBE 01 100ML";24500;"Prodotti per il corpo         ";1;22;0,00
"932519527    ";"DESTASI BBCREAM GAMBE 02 100ML";24500;"Prodotti per il corpo         ";1;22;0,00
"905598381    ";"DEXERYL CREMA PELLE SECCA 250G";6800;"Prodotti sanitari             ";1;22;0,00
"903969956    ";"DIABELUX 30CPR                ";20000;"Integratori alimentari";2;10;0,00
"908924412    ";"DIAGNOSTIC BOX CONT UR 24ORE  ";4500;"Prodotti sanitari             ";1;22;0,00
"908333115    ";"DIALBRODO CLASSICO 500G       ";5750;"Prodotti dietetici            ";1;10;0,00
"902340138    ";"DICODRAL 12BUST               ";8500;"Integratori alimentari";1;10;0,00
"902340177    ";"DICODRAL 60 12BUST            ";8500;"Integratori alimentari";1;10;0,00
"931151447    ";"DICODRAL LIQ ARA 3BRIK 200ML  ";5200;"Integratori alimentari";2;10;0,00
"909758839    ";"DICOFLOR 30 12BUST            ";13000;"Integratori alimentari";2;10;0,00
"933907154    ";"DICOFLOR 60 15BUST            ";16900;"Integratori alimentari";1;10;0,00
"904713981    ";"DICOFLOR 60 20CPS             ";19900;"Integratori alimentari";1;10;0,00
"933303671    ";"DICOFLOR COMPLEX JUNIOR 10FL  ";13000;"Integratori alimentari";1;10;0,00
"938143993    ";"DICOFLOR GOCCE 5ML            ";16700;"Integratori alimentari";1;10;0,00
